Ligand,Binding Affinity,rmsd/ub, rmsd/lb
477_asp-lys_laccase_4867_uff_E=569.17,-3.7,8.973,4.39
477_asp-lys_laccase_9570474_uff_E=1625.56,-1.4,0.0,0.0
477_asp-lys_laccase_9570474_uff_E=1625.56,-1.4,7.461,7.461
477_asp-lys_laccase_9570474_uff_E=1625.56,-1.4,29.802,29.802
477_asp-lys_laccase_9570474_uff_E=1625.56,-1.3,29.221,29.221
477_asp-lys_laccase_9570474_uff_E=1625.56,-1.3,23.936,23.936
477_asp-lys_laccase_9570474_uff_E=1625.56,-1.3,22.307,22.307
477_asp-lys_laccase_9570474_uff_E=1625.56,-1.3,10.936,10.936
477_asp-lys_laccase_9570474_uff_E=1625.56,-1.2,11.618,11.618
477_asp-lys_laccase_9570474_uff_E=1625.56,-1.2,31.309,31.309
asp_505mutatiolacc_14421_uff_E=504.28,-8.3,0.0,0.0
asp_505mutatiolacc_14421_uff_E=504.28,-7.7,21.092,19.502
asp_505mutatiolacc_14421_uff_E=504.28,-7.2,21.188,19.501
asp_505mutatiolacc_14421_uff_E=504.28,-7.0,41.605,39.232
asp_505mutatiolacc_14421_uff_E=504.28,-7.0,41.866,40.116
asp_505mutatiolacc_14421_uff_E=504.28,-6.8,42.055,39.324
asp_505mutatiolacc_14421_uff_E=504.28,-6.8,17.835,14.542
asp_505mutatiolacc_14421_uff_E=504.28,-6.8,22.144,19.72
asp_505mutatiolacc_14421_uff_E=504.28,-6.7,47.775,45.524
asp_505mutatiolacc_186907_uff_E=919.33,-8.2,0.0,0.0
asp_505mutatiolacc_186907_uff_E=919.33,-7.9,41.106,37.287
asp_505mutatiolacc_186907_uff_E=919.33,-7.6,20.909,19.708
asp_505mutatiolacc_186907_uff_E=919.33,-7.3,41.027,37.168
asp_505mutatiolacc_186907_uff_E=919.33,-7.2,21.965,19.55
asp_505mutatiolacc_186907_uff_E=919.33,-7.1,22.806,19.536
asp_505mutatiolacc_186907_uff_E=919.33,-7.0,22.221,19.825
asp_505mutatiolacc_186907_uff_E=919.33,-7.0,42.569,39.879
asp_505mutatiolacc_186907_uff_E=919.33,-6.8,33.054,29.609
asp_505mutatiolacc_4867_uff_E=569.17,-4.4,0.0,0.0
asp_505mutatiolacc_4867_uff_E=569.17,-4.4,2.31,1.379
asp_505mutatiolacc_4867_uff_E=569.17,-4.1,49.026,44.489
asp_505mutatiolacc_4867_uff_E=569.17,-3.9,10.713,1.685
asp_505mutatiolacc_4867_uff_E=569.17,-3.8,45.26,42.685
asp_505mutatiolacc_4867_uff_E=569.17,-3.7,11.39,2.074
asp_505mutatiolacc_4867_uff_E=569.17,-3.6,49.779,45.94
asp_505mutatiolacc_4867_uff_E=569.17,-3.6,28.843,22.254
asp_505mutatiolacc_4867_uff_E=569.17,-3.6,46.735,44.246
asp_505mutatiolacc_9570474_uff_E=1625.56,-1.4,0.0,0.0
asp_505mutatiolacc_9570474_uff_E=1625.56,-1.4,7.462,7.462
asp_505mutatiolacc_9570474_uff_E=1625.56,-1.4,29.8,29.8
asp_505mutatiolacc_9570474_uff_E=1625.56,-1.3,24.913,24.913
asp_505mutatiolacc_9570474_uff_E=1625.56,-1.3,29.22,29.22
asp_505mutatiolacc_9570474_uff_E=1625.56,-1.3,38.545,38.545
asp_505mutatiolacc_9570474_uff_E=1625.56,-1.3,23.936,23.936
asp_505mutatiolacc_9570474_uff_E=1625.56,-1.3,22.307,22.307
asp_505mutatiolacc_9570474_uff_E=1625.56,-1.2,11.621,11.621
432_trplaccasemutation_14421_uff_E=504.28,-8.3,0.0,0.0
432_trplaccasemutation_14421_uff_E=504.28,-7.8,21.133,19.527
432_trplaccasemutation_14421_uff_E=504.28,-7.7,41.728,37.966
432_trplaccasemutation_14421_uff_E=504.28,-7.5,41.189,38.882
432_trplaccasemutation_14421_uff_E=504.28,-7.4,21.509,18.889
432_trplaccasemutation_14421_uff_E=504.28,-7.3,50.546,48.559
432_trplaccasemutation_14421_uff_E=504.28,-7.2,21.563,19.064
432_trplaccasemutation_14421_uff_E=504.28,-7.1,41.938,40.237
432_trplaccasemutation_14421_uff_E=504.28,-7.0,51.196,49.496
432_trplaccasemutation_186907_uff_E=919.33,-8.2,0.0,0.0
432_trplaccasemutation_186907_uff_E=919.33,-8.0,50.29,47.872
432_trplaccasemutation_186907_uff_E=919.33,-7.8,5.721,1.477
432_trplaccasemutation_186907_uff_E=919.33,-7.7,51.017,48.863
432_trplaccasemutation_186907_uff_E=919.33,-7.6,20.946,19.797
432_trplaccasemutation_186907_uff_E=919.33,-7.3,41.001,37.158
432_trplaccasemutation_186907_uff_E=919.33,-7.3,50.067,48.026
432_trplaccasemutation_186907_uff_E=919.33,-7.2,21.928,19.515
432_trplaccasemutation_186907_uff_E=919.33,-7.2,22.711,19.403
432_trplaccasemutation_4867_uff_E=569.17,-4.5,0.0,0.0
432_trplaccasemutation_4867_uff_E=569.17,-4.5,3.466,2.873
432_trplaccasemutation_4867_uff_E=569.17,-4.4,12.204,2.846
432_trplaccasemutation_4867_uff_E=569.17,-4.3,3.954,2.684
432_trplaccasemutation_4867_uff_E=569.17,-4.2,44.79,42.562
432_trplaccasemutation_4867_uff_E=569.17,-4.2,13.174,9.23
432_trplaccasemutation_4867_uff_E=569.17,-4.1,49.127,44.736
432_trplaccasemutation_4867_uff_E=569.17,-4.1,46.889,44.401
432_trplaccasemutation_4867_uff_E=569.17,-4.1,5.36,2.455
432_trplaccasemutation_9570474_uff_E=1625.56,-1.6,0.0,0.0
432_trplaccasemutation_9570474_uff_E=1625.56,-1.4,27.678,27.678
432_trplaccasemutation_9570474_uff_E=1625.56,-1.4,26.009,26.009
432_trplaccasemutation_9570474_uff_E=1625.56,-1.4,32.656,32.656
432_trplaccasemutation_9570474_uff_E=1625.56,-1.3,26.056,26.056
432_trplaccasemutation_9570474_uff_E=1625.56,-1.3,32.73,32.73
432_trplaccasemutation_9570474_uff_E=1625.56,-1.3,21.776,21.776
432_trplaccasemutation_9570474_uff_E=1625.56,-1.3,28.355,28.355
432_trplaccasemutation_9570474_uff_E=1625.56,-1.2,32.765,32.765
